Function Code;Modbus address;Object designation;WPMsystem;WPM 3;WPM 3i;Comments;Min. value;Max. value;Step size;Data type;Unit;Write/read (w/r);Coding
0x04;2525;NHZ 1;x;;;WPM status;0;1;;6;;r;
0x04;2526;NHZ 2;x;;;WPM status;0;1;;6;;r;
0x04;2527;NHZ 1/2;x;;;WPM status;0;1;;6;;r;
0x04;2528;HEATING CIRCUIT PUMP 4;x;;;WPE status;0;1;;6;;r;
0x04;2529;HEATING CIRCUIT PUMP 5;x;;;WPE status;0;1;;6;;r;
0x04;2530;BUFFER CHARGING PUMP 3;x;;;WPE status;0;1;;6;;r;
0x04;2531;BUFFER CHARGING PUMP 4;x;;;WPE status;0;1;;6;;r;
0x04;2532;BUFFER CHARGING PUMP 5;x;;;WPE status;0;1;;6;;r;
0x04;2533;BUFFER CHARGING PUMP 6;x;;;WPE status;0;1;;6;;r;
0x04;2534;DIFF. CONTROLLER PUMP 1;x;;;WPE status;0;1;;6;;r;
0x04;2535;DIFF. CONTROLLER PUMP 2;x;;;WPE status;0;1;;6;;r;
0x04;2536;POOL PUMP, PRIMARY;x;;;WPE status;0;1;;6;;r;
0x04;2537;POOL PUMP, SECONDARY;x;;;WPE status;0;1;;6;;r;
0x04;2538;MIXER OPEN, HTG CIRCUIT 4;x;;;WPE status;0;1;;6;;r;
0x04;2539;MIXER CLOSE, HTG CIRCUIT 4;x;;;WPE status;0;1;;6;;r;
0x04;2540;MIXER OPEN, HTG CIRCUIT 5;x;;;WPE status;0;1;;6;;r;
0x04;2541;MIXER CLOSE, HTG CIRCUIT 5;x;;;WPE status;0;1;;6;;r;
0x04;2542;COMPRESSOR 1;x;;;Heat pump status 1;0;1;;6;;r;
0x04;2543;COMPRESSOR 2;x;;;Heat pump status 2;0;1;;6;;r;
0x04;2544;COMPRESSOR 3;x;;;Heat pump status 3;0;1;;6;;r;
0x04;2545;COMPRESSOR 4;x;;;Heat pump status 4;0;1;;6;;r;
0x04;2546;COMPRESSOR 5;x;;;Heat pump status 5;0;1;;6;;r;
0x04;2547;COMPRESSOR 6;x;;;Heat pump status 6;0;1;;6;;r;
0x04;3501;VD HEATING DAY;x;x;x;Amount of heat - all heat pumps;0;65535;;6;kWh;r;
0x04;3502;VD HEATING TOTAL;x;x;x;Amount of heat - all heat pumps;0;999;;6;kWh;r;
0x04;3503;VD HEATING TOTAL;x;x;x;Amount of heat - all heat pumps;0;65535;;6;MWh;r;
0x04;3504;VD DHW DAY;x;x;x;Amount of heat - all heat pumps;0;65535;;6;kWh;r;
0x04;3505;VD DHW TOTAL;x;x;x;Amount of heat - all heat pumps;0;999;;6;kWh;r;
0x04;3506;VD DHW TOTAL;x;x;x;Amount of heat - all heat pumps;0;65535;;6;MWh;r;
0x04;3507;NHZ HEATING TOTAL;x;x;x;Amount of heat - all heat pumps;0;999;;6;kWh;r;
0x04;3508;NHZ HEATING TOTAL;x;x;x;Amount of heat - all heat pumps;0;65535;;6;MWh;r;
0x04;3509;NHZ DHW TOTAL;x;x;x;Amount of heat - all heat pumps;0;999;;6;kWh;r;
0x04;3510;NHZ DHW TOTAL;x;x;x;Amount of heat - all heat pumps;0;65535;;6;MWh;r;
0x04;3511;VD HEATING DAY;x;x;x;Power consumption - all heat pumps;0;65535;;6;kWh;r;
0x04;3512;VD HEATING TOTAL;x;x;x;Power consumption - all heat pumps;0;999;;6;kWh;r;
0x04;3513;VD HEATING TOTAL;x;x;x;Power consumption - all heat pumps;0;65535;;6;MWh;r;
0x04;3514;VD DHW DAY;x;x;x;Power consumption - all heat pumps;0;65535;;6;kWh;r;
0x04;3515;VD DHW TOTAL;x;x;x;Power consumption - all heat pumps;0;999;;6;kWh;r;
0x04;3516;VD DHW TOTAL;x;x;x;Power consumption - all heat pumps;0;65535;;6;MWh;r;
0x04;3517;VD HEATING;;;x;Runtime;0;999;;6;h;r;
0x04;3518;VD DHW;;;x;Runtime;0;999;;6;h;r;
0x04;3519;VD COOLING;;;x;Runtime;0;999;;6;h;r;
0x04;3520;NHZ 1;;;x;Runtime;0;999;;6;h;r;
0x04;3521;NHZ 2;;;x;Runtime;0;999;;6;h;r;
0x04;3522;NHZ 1/2;;;x;Runtime;0;999;;6;h;r;
0x04;3523;VD HEATING DAY;x;x;;Amount of heat HP 1;0;65535;;6;kWh;r;
0x04;3524;VD HEATING TOTAL;x;x;;Amount of heat HP 1;0;999;;6;kWh;r;
0x04;3525;VD HEATING TOTAL;x;x;;Amount of heat HP 1;0;65535;;6;MWh;r;
0x04;3526;VD DHW DAY;x;x;;Amount of heat HP 1;0;65535;;6;kWh;r;
0x04;3527;VD DHW TOTAL;x;x;;Amount of heat HP 1;0;999;;6;kWh;r;
0x04;3528;VD DHW TOTAL;x;x;;Amount of heat HP 1;0;65535;;6;MWh;r;
0x04;3529;NHZ HEATING TOTAL;x;x;;Amount of heat HP 1;0;999;;6;kWh;r;
0x04;3530;NHZ HEATING TOTAL;x;x;;Amount of heat HP 1;0;65535;;6;MWh;r;
0x04;3531;NHZ DHW TOTAL;x;x;;Amount of heat HP 1;0;999;;6;kWh;r;
0x04;3532;NHZ DHW TOTAL;x;x;;Amount of heat HP 1;0;65535;;6;MWh;r;
0x04;3533;VD HEATING DAY;x;x;;Power consumption HP 1;0;65535;;6;kWh;r;
0x04;3534;VD HEATING TOTAL;x;x;;Power consumption HP 1;0;999;;6;kWh;r;
0x04;3535;VD HEATING TOTAL;x;x;;Power consumption HP 1;0;65535;;6;MWh;r;
0x04;3536;VD DHW DAY;x;x;;Power consumption HP 1;0;65535;;6;kWh;r;
0x04;3537;VD DHW TOTAL;x;x;;Power consumption HP 1;0;999;;6;kWh;r;
0x04;3538;VD DHW TOTAL;x;x;;Power consumption HP 1;0;65535;;6;MWh;r;
0x04;3539;VD 1 HEATING;x;x;;Runtime HP 1;;;;6;h;r;
0x04;3540;VD 2 HEATING;x;x;;Runtime HP 1;;;;6;h;r;
0x04;3541;VD 1/2 HEATING;x;x;;Runtime HP 1;;;;6;h;r;
0x04;3542;VD 1 DHW;x;x;;Runtime HP 1;;;;6;h;r;
0x04;3543;VD 2 DHW;x;x;;Runtime HP 1;;;;6;h;r;
0x04;3544;VD 1/2 DHW;x;x;;Runtime HP 1;;;;6;h;r;
0x04;3545;VD COOLING;x;x;;Runtime HP 1;;;;6;h;r;
0x04;3546;NHZ 1;x;x;;Runtime reheating stage;;;;6;h;r;
0x04;3547;NHZ 2;x;x;;Runtime reheating stage;;;;6;h;r;
0x04;3548;NHZ 1/2;x;x;;Runtime reheating stage;;;;6;h;r;
0x04;3549;VD HEATING DAY;x;x;;Amount of heat HP 2;0;65535;;6;kWh;r;
0x04;3550;VD HEATING TOTAL;x;x;;Amount of heat HP 2;0;999;;6;kWh;r;
0x04;3551;VD HEATING TOTAL;x;x;;Amount of heat HP 2;0;65535;;6;MWh;r;
0x04;3552;VD DHW DAY;x;x;;Amount of heat HP 2;0;65535;;6;kWh;r;
0x04;3553;VD DHW TOTAL;x;x;;Amount of heat HP 2;0;999;;6;kWh;r;
0x04;3554;VD DHW TOTAL;x;x;;Amount of heat HP 2;0;65535;;6;MWh;r;
0x04;3555;VD HEATING DAY;x;x;;Power consumption HP 2;0;65535;;6;kWh;r;
0x04;3556;VD HEATING TOTAL;x;x;;Power consumption HP 2;0;999;;6;kWh;r;
0x04;3557;VD HEATING TOTAL;x;x;;Power consumption HP 2;0;65535;;6;MWh;r;
0x04;3558;VD DHW DAY;x;x;;Power consumption HP 2;0;65535;;6;kWh;r;
0x04;3559;VD DHW TOTAL;x;x;;Power consumption HP 2;0;999;;6;kWh;r;
0x04;3560;VD DHW TOTAL;x;x;;Power consumption HP 2;0;65535;;6;MWh;r;
0x04;3561;VD 1 HEATING;x;x;;Runtime HP 2;;;;6;h;r;
0x04;3562;VD 2 HEATING;x;x;;Runtime HP 2;;;;6;h;r;
0x04;3563;VD 1/2 HEATING;x;x;;Runtime HP 2;;;;6;h;r;
0x04;3564;VD 1 DHW;x;x;;Runtime HP 2;;;;6;h;r;
0x04;3565;VD 2 DHW;x;x;;Runtime HP 2;;;;6;h;r;
0x04;3566;VD 1/2 DHW;x;x;;Runtime HP 2;;;;6;h;r;
0x04;3567;VD COOLING;x;x;;Runtime HP 2;;;;6;h;r;
0x04;3568;VD HEATING DAY;x;x;;Amount of heat HP 3;0;65535;;6;kWh;r;
0x04;3569;VD HEATING TOTAL;x;x;;Amount of heat HP 3;0;999;;6;kWh;r;
0x04;3570;VD HEATING TOTAL;x;x;;Amount of heat HP 3;0;65535;;6;MWh;r;
0x04;3571;VD DHW DAY;x;x;;Amount of heat HP 3;0;65535;;6;kWh;r;
0x04;3572;VD DHW TOTAL;x;x;;Amount of heat HP 3;0;999;;6;kWh;r;
0x04;3573;VD DHW TOTAL;x;x;;Amount of heat HP 3;0;65535;;6;MWh;r;
0x04;3574;VD HEATING DAY;x;x;;Power consumption HP 3;0;65535;;6;kWh;r;
0x04;3575;VD HEATING TOTAL;x;x;;Power consumption HP 3;0;999;;6;kWh;r;
0x04;3576;VD HEATING TOTAL;x;x;;Power consumption HP 3;0;65535;;6;MWh;r;
0x04;3577;VD DHW DAY;x;x;;Power consumption HP 3;0;65535;;6;kWh;r;
0x04;3578;VD DHW TOTAL;x;x;;Power consumption HP 3;0;999;;6;kWh;r;
0x04;3579;VD DHW TOTAL;x;x;;Power consumption HP 3;0;65535;;6;MWh;r;
0x04;3580;VD 1 HEATING;x;x;;Runtime HP 3;;;;6;h;r;
0x04;3581;VD 2 HEATING;x;x;;Runtime HP 3;;;;6;h;r;
0x04;3582;VD 1/2 HEATING;x;x;;Runtime HP 3;;;;6;h;r;
0x04;3583;VD 1 DHW;x;x;;Runtime HP 3;;;;6;h;r;
0x04;3584;VD 2 DHW;x;x;;Runtime HP 3;;;;6;h;r;
0x04;3585;VD 1/2 DHW;x;x;;Runtime HP 3;;;;6;h;r;
0x04;3586;VD COOLING;x;x;;Runtime HP 3;;;;6;h;r;
0x04;3587;VD HEATING DAY;x;x;;Amount of heat HP 4;0;65535;;6;kWh;r;
0x04;3588;VD HEATING TOTAL;x;x;;Amount of heat HP 4;0;999;;6;kWh;r;
0x04;3589;VD HEATING TOTAL;x;x;;Amount of heat HP 4;0;65535;;6;MWh;r;
0x04;3590;VD DHW DAY;x;x;;Amount of heat HP 4;0;65535;;6;kWh;r;
0x04;3591;VD DHW TOTAL;x;x;;Amount of heat HP 4;0;999;;6;kWh;r;
0x04;3592;VD DHW TOTAL;x;x;;Amount of heat HP 4;0;65535;;6;MWh;r;
0x04;3593;VD HEATING DAY;x;x;;Power consumption HP 4;0;65535;;6;kWh;r;
0x04;3594;VD HEATING TOTAL;x;x;;Power consumption HP 4;0;999;;6;kWh;r;
0x04;3595;VD HEATING TOTAL;x;x;;Power consumption HP 4;0;65535;;6;MWh;r;
0x04;3596;VD DHW DAY;x;x;;Power consumption HP 4;0;65535;;6;kWh;r;
0x04;3597;VD DHW TOTAL;x;x;;Power consumption HP 4;0;999;;6;kWh;r;
0x04;3598;VD DHW TOTAL;x;x;;Power consumption HP 4;0;65535;;6;MWh;r;
0x04;3599;VD 1 HEATING;x;x;;Runtime HP 4;;;;6;h;r;
0x04;3600;VD 2 HEATING;x;x;;Runtime HP 4;;;;6;h;r;
0x04;3601;VD 1/2 HEATING;x;x;;Runtime HP 4;;;;6;h;r;
0x04;3602;VD 1 DHW;x;x;;Runtime HP 4;;;;6;h;r;
0x04;3603;VD 2 DHW;x;x;;Runtime HP 4;;;;6;h;r;
0x04;3604;VD 1/2 DHW;x;x;;Runtime HP 4;;;;6;h;r;
0x04;3605;VD COOLING;x;x;;Runtime HP 4;;;;6;h;r;
0x04;3606;VD HEATING DAY;x;x;;Amount of heat HP 5;0;65535;;6;kWh;r;
0x04;3607;VD HEATING TOTAL;x;x;;Amount of heat HP 5;0;999;;6;kWh;r;
0x04;3608;VD HEATING TOTAL;x;x;;Amount of heat HP 5;0;65535;;6;MWh;r;
0x04;3609;VD DHW DAY;x;x;;Amount of heat HP 5;0;65535;;6;kWh;r;
0x04;3610;VD DHW TOTAL;x;x;;Amount of heat HP 5;0;999;;6;kWh;r;
0x04;3611;VD DHW TOTAL;x;x;;Amount of heat HP 5;0;65535;;6;MWh;r;
0x04;3612;VD HEATING DAY;x;x;;Power consumption HP 5;0;65535;;6;kWh;r;
0x04;3613;VD HEATING TOTAL;x;x;;Power consumption HP 5;0;999;;6;kWh;r;
0x04;3614;VD HEATING TOTAL;x;x;;Power consumption HP 5;0;65535;;6;MWh;r;
0x04;3615;VD DHW DAY;x;x;;Power consumption HP 5;0;65535;;6;kWh;r;
0x04;3616;VD DHW TOTAL;x;x;;Power consumption HP 5;0;999;;6;kWh;r;
0x04;3617;VD DHW TOTAL;x;x;;Power consumption HP 5;0;65535;;6;MWh;r;
0x04;3618;VD 1 HEATING;x;x;;Runtime HP 5;;;;6;h;r;
0x04;3619;VD 2 HEATING;x;x;;Runtime HP 5;;;;6;h;r;
0x04;3620;VD 1/2 HEATING;x;x;;Runtime HP 5;;;;6;h;r;
0x04;3621;VD 1 DHW;x;x;;Runtime HP 5;;;;6;h;r;
0x04;3622;VD 2 DHW;x;x;;Runtime HP 5;;;;6;h;r;
0x04;3623;VD 1/2 DHW;x;x;;Runtime HP 5;;;;6;h;r;
0x04;3624;VD COOLING;x;x;;Runtime HP 5;;;;6;h;r;
0x04;3625;VD HEATING DAY;x;x;;Amount of heat HP 6;0;65535;;6;kWh;r;
0x04;3626;VD HEATING TOTAL;x;x;;Amount of heat HP 6;0;999;;6;kWh;r;
0x04;3627;VD HEATING TOTAL;x;x;;Amount of heat HP 6;0;65535;;6;MWh;r;
0x04;3628;VD DHW DAY;x;x;;Amount of heat HP 6;0;65535;;6;kWh;r;
0x04;3629;VD DHW TOTAL;x;x;;Amount of heat HP 6;0;999;;6;kWh;r;
0x04;3630;VD DHW TOTAL;x;x;;Amount of heat HP 6;0;65535;;6;MWh;r;
0x04;3631;VD HEATING DAY;x;x;;Power consumption HP 6;0;65535;;6;kWh;r;
0x04;3632;VD HEATING TOTAL;x;x;;Power consumption HP 6;0;999;;6;kWh;r;
0x04;3633;VD HEATING TOTAL;x;x;;Power consumption HP 6;0;65535;;6;MWh;r;
0x04;3634;VD DHW DAY;x;x;;Power consumption HP 6;0;65535;;6;kWh;r;
0x04;3635;VD DHW TOTAL;x;x;;Power consumption HP 6;0;999;;6;kWh;r;
0x04;3636;VD DHW TOTAL;x;x;;Power consumption HP 6;0;65535;;6;MWh;r;
0x04;3637;VD 1 HEATING;x;x;;Runtime HP 6;;;;6;h;r;
0x04;3638;VD 2 HEATING;x;x;;Runtime HP 6;;;;6;h;r;
0x04;3639;VD 1/2 HEATING;x;x;;Runtime HP 6;;;;6;h;r;
0x04;3640;VD 1 DHW;x;x;;Runtime HP 6;;;;6;h;r;
0x04;3641;VD 2 DHW;x;x;;Runtime HP 6;;;;6;h;r;
0x04;3642;VD 1/2 DHW;x;x;;Runtime HP 6;;;;6;h;r;
0x04;3643;VD COOLING;x;x;;Runtime HP 6;;;;6;h;r;
0x04;3644;VD HEATING;x;;;Runtime HP 1;;;;6;h;r;
0x04;3645;VD DHW;x;;;Runtime HP 1;;;;6;h;r;
0x04;3646;VD HEATING;x;;;Runtime HP 2;;;;6;h;r;
0x04;3647;VD DHW;x;;;Runtime HP 2;;;;6;h;r;
0x04;3648;VD HEATING;x;;;Runtime HP 3;;;;6;h;r;
0x04;3649;VD DHW;x;;;Runtime HP 3;;;;6;h;r;
0x04;3650;VD HEATING;x;;;Runtime HP 4;;;;6;h;r;
0x04;3651;VD DHW;x;;;Runtime HP 4;;;;6;h;r;
0x04;3652;VD HEATING;x;;;Runtime HP 5;;;;6;h;r;
0x04;3653;VD DHW;x;;;Runtime HP 5;;;;6;h;r;
0x04;3654;VD HEATING;x;;;Runtime HP 6;;;;6;h;r;
0x04;3655;VD DHW;x;;;Runtime HP 6;;;;6;h;r;
